epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9472,1.73449,3.67389,1.60509,0.00236,0.66667,0.09319,0.05313,1.56698,4.40793,1.33971,4.287e-05,4.287e-05,4.287e-05
2,35.8407,1.46543,3.51936,1.38804,0.00272,0.72222,0.1002,0.05629,1.41709,4.33562,1.26619,9.80494e-05,9.80494e-05,9.80494e-05
3,53.2164,1.5174,3.15132,1.37248,0.0033,0.83333,0.10078,0.06839,1.32875,4.15915,1.19246,0.000150965,0.000150965,0.000150965
4,70.4228,1.57795,2.83484,1.39574,0.00342,0.83333,0.23671,0.1417,1.44948,4.12756,1.2494,0.000201618,0.000201618,0.000201618
5,87.863,1.36314,2.51029,1.22268,0.00326,0.77778,0.33855,0.19029,1.57483,4.13501,1.28754,0.000250006,0.000250006,0.000250006
6,105.327,1.33134,2.3382,1.17972,0.00352,0.77778,0.40789,0.20174,1.53832,4.25815,1.29434,0.000296132,0.000296132,0.000296132
7,122.448,1.36023,2.27258,1.22461,0.00404,0.83333,0.39802,0.211,1.49744,4.13106,1.26005,0.000339993,0.000339993,0.000339993
8,139.599,1.35853,2.10764,1.25774,0.00448,0.83333,0.53143,0.33188,1.52269,4.12131,1.27581,0.000381592,0.000381592,0.000381592
9,156.748,1.47197,2.20052,1.28317,0.00371,0.72222,0.50369,0.34553,1.58787,4.12348,1.3813,0.000420926,0.000420926,0.000420926
10,173.885,1.1933,1.8966,1.1577,0.00324,0.72222,0.49515,0.30678,1.59677,4.1448,1.38081,0.000457997,0.000457997,0.000457997
11,191.002,1.31024,1.91031,1.20637,0.00297,0.72222,0.5858,0.39377,1.53006,3.95795,1.37743,0.000492805,0.000492805,0.000492805
12,208.2,1.2009,1.77254,1.16334,0.00292,0.72222,0.52834,0.37722,1.49551,3.88829,1.42917,0.000525349,0.000525349,0.000525349
13,225.473,1.2362,1.77252,1.2068,1,0.15536,0.43821,0.34641,1.4604,3.9399,1.40479,0.000555629,0.000555629,0.000555629
14,243.544,1.2349,1.80875,1.20497,1,0.33116,0.47509,0.36544,1.54492,3.91483,1.42857,0.000583646,0.000583646,0.000583646
15,260.632,1.27887,1.78476,1.18135,0.89009,0.26089,0.46977,0.30274,1.61686,3.97771,1.46925,0.0006094,0.0006094,0.0006094
16,277.736,1.14184,1.71349,1.16899,0.9093,0.26186,0.44308,0.31393,1.58848,3.95543,1.48686,0.00063289,0.00063289,0.00063289
17,294.813,1.11858,1.69823,1.12342,0.92266,0.36018,0.43262,0.31759,1.60092,3.8655,1.50765,0.000654116,0.000654116,0.000654116
18,311.955,1.26823,1.91164,1.25487,1,0.19662,0.46373,0.34002,1.57242,4.00015,1.51109,0.000673079,0.000673079,0.000673079
19,329.014,1.10312,1.75379,1.21677,1,0.23863,0.45693,0.31411,1.6618,4.04029,1.5226,0.000689778,0.000689778,0.000689778
20,346.079,1.1615,1.64763,1.19755,1,0.24607,0.41525,0.30796,1.61258,3.99584,1.50089,0.000704214,0.000704214,0.000704214
21,363.159,1.16681,1.61006,1.14866,0.47679,0.44444,0.44857,0.29679,1.42422,3.49878,1.39177,0.000716386,0.000716386,0.000716386
22,380.222,1.04431,1.37089,1.08285,0.62658,0.44444,0.49803,0.32435,1.35957,3.41392,1.4015,0.000726295,0.000726295,0.000726295
23,479.348,1.04726,1.34372,1.08009,0.61494,0.4834,0.5117,0.33327,1.44845,3.55238,1.46484,0.00073394,0.00073394,0.00073394
24,496.495,1.09494,1.47246,1.13836,0.93645,0.38889,0.4494,0.32692,1.52858,3.61732,1.5194,0.000739322,0.000739322,0.000739322
